CEPH ID	Origin
HGDP00743	Israel
HGDP00744	Israel
HGDP00745	Israel
HGDP00746	Israel
HGDP00747	Japan
HGDP00748	Japan
HGDP00749	Japan
HGDP00750	Japan
HGDP00751	Japan
HGDP00752	Japan
HGDP00753	Japan
HGDP00754	Japan
HGDP00755	Japan
HGDP00756	Japan
HGDP00757	Japan
HGDP00758	Japan
HGDP00759	Japan
HGDP00760	Japan
HGDP00761	Japan
HGDP00762	Japan
HGDP00763	Japan
HGDP00764	Japan
HGDP00765	Japan
HGDP00766	Japan
HGDP00767	Japan
HGDP00768	Japan
HGDP00769	Japan
HGDP00770	Japan
HGDP00771	Japan
HGDP00772	Japan
HGDP00773	Japan
HGDP00774	China
HGDP00775	China
HGDP00776	China
HGDP00777	China
HGDP00778	China
HGDP00779	China
HGDP00780	China
HGDP00781	China
HGDP00782	China
HGDP00783	China
HGDP00784	China
HGDP00785	China
HGDP00786	China
HGDP00787	Guinea
HGDP00788	Guinea
HGDP00789	Guinea
HGDP00790	Japan
HGDP00791	Japan
HGDP00792	Colombia
HGDP00793	Colombia
HGDP00794	United Kingdom
HGDP00795	United Kingdom
HGDP00796	United Kingdom
HGDP00797	United Kingdom
HGDP00798	United Kingdom
HGDP00799	United Kingdom
HGDP00800	United Kingdom
HGDP00801	United Kingdom
HGDP00802	United Kingdom
HGDP00803	United Kingdom
HGDP00804	United Kingdom
HGDP00805	United Kingdom
HGDP00806	United Kingdom
HGDP00807	United Kingdom
HGDP00808	United Kingdom
HGDP00810	United Kingdom
HGDP00811	China
HGDP00812	China
HGDP00813	China
HGDP00814	China
HGDP00815	China
HGDP00817	China
HGDP00818	China
HGDP00819	China
HGDP00820	China
HGDP00821	China
HGDP00822	China
HGDP00823	Guinea
HGDP00824	Guinea
HGDP00825	Guinea
HGDP00826	Guinea
HGDP00827	Colombia
HGDP00828	Japan
HGDP00830	Brazil
HGDP00832	Brazil
HGDP00833	Brazil
HGDP00834	Brazil
HGDP00835	Brazil
HGDP00837	Brazil
HGDP00838	Brazil
HGDP00839	Brazil
HGDP00840	Brazil
